# Contracted plant load factor and project cost, one row per listed ticker.
# Hand-entered. This file is the only place these figures come from -- nothing
# here is derived, and nothing is inferred from the fleet.
#
# An EMPTY ContractPLF means not available. It does not mean zero, and it must
# not be filled with a fleet average or a number from a similar plant: the whole
# point of the column is to compare a plant against its own contract. A plant
# with no figure is reported as a dash and left out of any shortfall statistic.
#
# ContractPLF   percent, as the source states it (62.16, not 0.6216)
# ContractEnergy annual contracted energy in GWh
# DryPct        dry-season share of contracted energy, percent
# CostPerMW     total project cost per MW, NPR million
# Source        icra | care | infomerics | prospectus | operator-model | annual-report
# SourceUrl     the document the figure was read from. Pre-filled with the newest
#               ICRA rationale where one exists, so filling a row is a click.
# Note          anything a later reader needs, especially why a cell is blank.
#
# Do not enter a figure you have not seen in the document named in SourceUrl.
# DesignEnergy  mean annual / saleable energy in GWh, from the operator's own
#               project page. NOT the PPA contract: it is the engineering design
#               figure, and the two are close but not the same thing, so they
#               live in separate columns and are never merged.
# DesignPLF     DesignEnergy / (MW x 8760 h), percent. Derived, not quoted.
# DesignUrl     the operator page the energy figure was read from.
Ticker,Company,ContractPLF,ContractEnergy,DryPct,CostPerMW,Source,SourceUrl,Note,DesignEnergy,DesignPLF,DesignUrl
SANVI,Sanvi Energy Limited,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202608110803_Sanvi_Energy_Limited_-_Ratings_Continue_To_Be_On_Credit_Watch_With_Negative_Implications.pdf,"document read, states no contracted PLF",,,
SGHC,Swet-Ganga Hydropower & Construction Limited,69.4,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202606110658_Swet_Ganga_Hydropower_and_Construction_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Revised.pdf,contracted PLF as stated; document prints it as 69.4 and 80.93 and 88.61,,,
SGHL,Sanigad Hydro Limited,,,,226,icra,https://www.icranepal.com/wp-content/uploads/2024/01/A.545-Sanigad-Hydro_Fresh-Issuer-Rating_Jan-2024_Final.pdf,"document read, states no contracted PLF. Design annual energy 219.3 GWh for the 38.46 MW Upper Kalanga Gad HEP per Sanima Hydro & Engineering, the design consultant -- cross-checks against cost: NPR 8,687m / 38.46 MW = 225.9/MW, matching the 226 already on this row.",219.3,65.09,
SHEL,Singati Hydro Energy Limited,60.55,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202510101006_Singati_Hydro_Energy_Limited_-_Issuer_Rating_and_Bank_Facilities_Ratings_Revised.pdf,contracted PLF as stated in the document,,,
SHPC,Sanima Mai Hydropower,65,,,161,icra,https://www.icranepal.com/wp-content/uploads/2019/11/43.-Rationale_Sanima-Mai_Rights-Issue-June-2017.pdf,"Rights-issue grading (Jun 2017) for the combined 22 MW Mai HEP + 7 MW Mai Cascade (29 MW total): 'contract energy PLF of 65%' stated once for both plants together (net PLF ran ~34% in FY2016 due to weak rainfall/delayed transmission, recovering to ~61% -- 'at par with contract energy PLF' -- by 9M FY2017). Commissioning cost ~NPR 161m/MW on average across both plants.",,,
SIKLES,Sikles Hydropower Limited,,,,,,,no CARE press release found,,,
SIPD,Shikhar Power Development Limited,65.78,28.581,18.09,241.8,prospectus,https://www.sebon.gov.np/uploads/2026/03/01/YZVCDqH0INTmHUNTq9XE68GsoX4qRnq95xMODaxq.pdf,"Original SEBON IPO prospectus gives the PPA's annual contract energy directly: 28,581,337 kWh (wet 23,411,680 / dry 5,169,567 -- these two don't sum exactly to the stated total, off by 90 kWh, an artifact of the source document itself) on 4.96 MW (Bhim Khola Small HPP). Total project cost incl. IDC Rs 1,19,94,35,839 = Rs 241.8m/MW, replacing the earlier rough ICRA-doc estimate of 226.",,,
SJCL,Sanjen Jalavidhyut Company Limited,,,,,icra,https://www.icranepal.com/wp-content/uploads/2019/11/27.-Rationale_Sanjen-Jalavidhyut_IPO-Grading_December-2018_Final.pdf,"IPO grading (Dec 2018) for the two-plant cascade (42.5 MW Sanjen + 14.8 MW Sanjen Upper): combined cost NPR 8,912m for 57.3 MW (~155.5m/MW) but no per-plant breakdown, and no contracted PLF figure, given for either project. A combined-cascade cost is not entered as CostPerMW here since it would misstate either plant's own economics. Sanjen 42.5 MW alone generates 241.865 GWh per its own site; company also owns Upper Sanjen, so no company-level design PLF either.",,,
SKHEL,Suryakunda Hydro Electric Limited,63.64,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202511111112_Suryakunda_Hydro_Electric_Limited_-_Issuer_Rating_and_Bank_Facilities_Reaffirmed.pdf,contracted PLF as stated in the document,,,
SKHL,Super Khudi Hydropower Limited,,,,,,,no CARE press release found,,,
SMH,Super Mai Hydropower Limited,,,,191,icra,https://www.icranepal.com/wp-content/uploads/2025/10/A.1319-Super-Mai-Hydropower-Limited_BLR-surveillance_October-2025_Final.pdf,"document read, states no contracted PLF",,,
SMHL,Super Madi Hydropower Limited,,,,206,icra,https://www.icranepal.com/wp-content/uploads/2026/04/B.99-Super-Madi-Hydropower-Limited_Issuer-BLR-Surveillance_April-02-2026.pdf,"document read, states no contracted PLF; operator site carries no energy figure",,,
SMJC,Sagarmatha Jalabidhyut Company Limited,67,,15,185,icra,https://www.icranepal.com/wp-content/uploads/2024/07/A.752-Sagarmatha-Jalabidhyut-Co.-Limited_July-2024_Final.pdf,"BLR surveillance (Jul 2024) for the 9.6 MW Super Mai-A HPP: 'operated at ~55% net PLF compared to the contract PLF of ~67% in FY2023 with dry energy generation of ~14% compared to ~15% as per PPA'. Commissioned at NPR 185m/MW. The later Oct 2025 doc on this row previously did not restate the figure.",,,
SNORL,Snow Rivers Limited,68,,,201,icra,https://www.icranepal.com/wp-content/uploads/2026/03/B.44-Snow-Rivers-Limited_BLR-and-IR-surveillance_February-2026_Final.pdf,contracted PLF as stated in the document,,,
SOHL,Solu Hydropower Limited,62.76,,,187,infomerics,https://infomericsnepal.com/wp-content/uploads/2023/08/1692169737.Solu-Hydropower-Limited-Issuer-Rating-Assigned.pdf,"Issuer rating (Aug 2023) for the 82 MW Lower Solu HEP: 'the contracted Plant Load Factor (PLF) for the total 82 MW is 62.76%'. Cost 'NPR 15,364 Mn (NPR 187 per MW)', still under construction at the time (penstock redesign after geological issues). A later report suggested cost may have since risen to ~199-241m/MW, but that wasn't independently confirmed in a document read here, so the original assigned-rating figure is what's entered. no CARE press release found; design PLF from the operator: 444.67 GWh annual saleable on 82 MW (secondary sources say 425.46; the operator's own figure is used) -- close to the contract figure above, kept separately per this file's own convention.",444.67,61.90,https://soluhydro.com/
SPC,Samling Power Company Limited,,,,,,https://www.icranepal.com/wp-content/uploads/2025/10/A.1329-Samling-Power-Company-Limited_Ratings-Review_October-2025_V1-1.pdf,"document read, states no contracted PLF",,,
SPDL,Synergy Power Development Ltd.,62,,,150,icra,https://www.icranepal.com/wp-content/uploads/2019/11/50.-Synergy-Hydro_Rationale-Final.pdf,"IPO grading (Jun 2016) for the 9.658 MW Siprin Khola HEP: contract/design energy PLF stated as ~62% (actual net PLF was only ~33-44% at grading time, due to Apr-2015 earthquake damage and NEA evacuation constraints). Cost per MW (NPR 1,455m / 9.658 MW = ~150.7m) matches the existing 150 already on this row.",,,
SPHL,Sayapatri Hydropower Limited,62.74,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202602050249_Sayapatri_Hydropower_Limited_-_Issuer_Rating_Reaffirmed.pdf,contracted PLF as stated; document prints it as 44.25 and 62.74 and 82.46,,,
SPL,Shuvam Power Limited,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202604090430_Shuvam_Power_Limited_-_Issuer_Rating_Reaffirmed.pdf,"document reads 78.89%, outside the 55-75% band every verified contract falls in - check the PDF before using it",,,
SSHL,Shiva Shree Hydropower Ltd,61,118,,182,icra,https://www.icranepal.com/wp-content/uploads/2019/11/26.-Rationale_Shiva-Shree-Hydropower-Limited_Nov-2017_Final.pdf,"IPO grading (Nov 2017) for the 22.2 MW Upper Chaku 'A' HEP: 'contract Plant Load Factor (PLF) of the project is ~61% with annual production capacity of ~118 GWh energy'. Cost escalated to NPR 182m/MW (from an initial NPR 136m/MW budget). The previously-cited CARE doc for this ticker was a mismatched company name and has been replaced.",,,
TAMOR,Sanima Middle Tamor Hydropower Limited,67.15,429.409,15.1,191,operator-site,https://middletamor.com/main/pages/salient-features/,"annual net energy 429.409 GWh on 73 MW stated as per the PPA (dry 64.90 / wet 364.27); this settles the CARE PR, which printed 64.37 and 67.15 without saying which was the contract",,,
TPC,Terhathum Power Company Limited,65,43,15,183,icra,https://www.icranepal.com/wp-content/uploads/2019/11/11.-Rationale_Terhathum-Power-Company-Limited_IPO-Grading_August-2019.pdf,"IPO grading (Aug 2019) for the 7.5 MW Upper Khorunga Small HPP: 'contract plant load factor (PLF) of the project is ~65% with an annual production capacity of ~43 GWh of energy', dry energy mix ~15%. Cost NPR 183m/MW.",,,
TPKHL,Taksar Pikhuwa Khola Hydropower Limited ,64.94,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202602100256_Taksar_Pikhuwa_Khola_Hydropower_Limited_-_Bank_Facilities_Ratings_and_Issuer_Rating_Reaffirmed.pdf,contracted PLF as stated; document prints it as 64.94 and 79,,,
TSHL,Three Star Hydropower Limited,65.11,40.792,,211,company-site,threestarhydro.com,"Fresh issuer/BLR rating (May 2021), pre-commissioning: cost ~NPR 211m/MW (~187m excluding pondage/switching substation). ICRA never states a contract PLF. The company's own site states annual CONTRACT energy = 40.792 GWh -- self-reported, not ICRA/CARE-sourced, so treat with more caution than the usual entries here. CAPACITY BASIS: the company's site implies 6.6 MW (giving 70.55%), but DoED RMS registers this plant (PlantId 127) at 7,151 kW and ICRA also cites 7.151 MW design -- the RMS figure is used here, giving 65.11%.",,,
TVCL,Trishuli Jal Vidhyut Company Limited,,,,,icra,https://www.icranepal.com/wp-content/uploads/2026/07/B.225-Trishuli-Jal-Vidhyut-Company-Limited_BLR-Surveillance_July-09-2026_Final.pdf,"document reads 90%, outside the 55-75% band every verified contract falls in - check the PDF before using it",,,
UHEWA,Upper Hewakhola Hydropower Company Limited,62.16,,,166,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202502110209_Upper_Hewa_Khola_Hydropower_Company_Limited_-_Bank_Facilities_Ratings_Assigned.pdf,contracted PLF as stated; document prints it as 62.15 and 62.16,,,
ULHC,Upper Lohore Khola Hydropower Company Limited,,,,,,,"no CARE press release found; the company's own site (ulkhp.com) states the 4 MW Upper Lohore HEP in Naumule RM, Dailekh will generate 21.22 GWh annually. Cost not disclosed.",21.22,60.56,ulkhp.com
UMHL,United Modi Hydropower,70,,,214,icra,https://www.icranepal.com/wp-content/uploads/2019/11/51.-United-Modi_IPO-Rationale-Final.pdf,"IPO grading (Jun 2016) for the operational 9.9 MW Lower Modi-I HEP (RMS lists 10.20 MW): design energy PLF ~70%, cost ~NPR 214m/MW. A second figure in the same document (~NPR 169m/MW) is for the not-yet-built Lower Modi-II cascade, not this plant -- not used here. No CARE press release found for this ticker specifically.",,,
UMRH,United IDI Mardi RB Hydropower Limited,,,,,,,no CARE press release found,,,
UNHPL,Union Hydropower Limited,,,,271,icra,https://www.icranepal.com/wp-content/uploads/2019/11/36.-Rationale_Union-Hydro_March-2017.pdf,"IPO grading (Mar 2017) for the 3 MW Midim Khola (Karapu) HPP: cost ~NPR 271m/MW. No contracted PLF percentage stated in this document.",17.19,65.41,nwrmap.info
UPCL,Universal Power Company Ltd,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202512051202_Universal_Power_Company_Limited_-_Issuer_Rating_Assigned_and_Bank_Facilities_Rating_Revised.pdf,"document reads 79%, outside the 55-75% band every verified contract falls in - check the PDF before using it",,,
UPPER,Upper Tamakoshi Hydropower Ltd,,,,144,icra,https://www.icranepal.com/wp-content/uploads/2019/11/44.-Rationale_Upper-Tamakoshi-HPP-January-2018_Final.pdf,"IPO grading (Jan 2018): project cost ~NPR 144m/MW including interest during construction, at ~92% physical completion. No PPA deemed-generation clause and no contracted PLF figure stated in this or the later 2022 BLR-surveillance document. Design PLF (57.10%) is separately sourced from NEA's own project presentation.",2281,57.10,https://neanepal.org.np/storage/news/2023/12/upper-tamakoshi-presentation_1703853153.pdf
USHEC,Upper Solu Hydro Electric Company Limited,,,,,,https://www.icranepal.com/wp-content/uploads/2025/08/A.1232-Upper-Solu-Hydro-Electric-Company-Limited_Ratings-Withdrawal_August-2025.pdf,"document read, states no contracted PLF",,,
USHL,Upper Syange Hydropower Limited,67.24,14.134,19.94,210.33,prospectus,https://sebon.gov.np/uploads/2023/05/14/hZWcfXD4IsoN0U784kdWt3ckNwHv7S2VcJ3PTkqX.pdf,"Original SEBON IPO prospectus states the PPA's main terms directly: annual contract energy 1,41,34,356 kWh on 2.4 MW (wet 8mo 1,13,16,659 / dry 4mo 28,17,698 kWh), matching the doc's own separate 'Annual Contract Energy 14.134 GWh' mention. Total project cost Rs 50,47,94,338 = Rs 2,10,33,09,74.17/MW = Rs 210.33m/MW.",,,
VLUCL,Vision Lumbini Urja Company Limited,,,,249,icra,https://www.icranepal.com/wp-content/uploads/2026/05/B.143-Vision-Lumbini-Urja-Company-Limited_BLR-Surveillance_May-07-2026.pdf,"document read, states no contracted PLF. Design annual energy 145.66 GWh (dry 45.48 + wet 100.18) for the 25 MW Seti Nadi HEP, from the Independent Engineer's (IES, the lender's engineer) report -- cross-checks against cost: ICRA's commissioned cost ~NPR 6,212m / 25 MW = 248.5/MW, matching the 249 already on this row.",145.66,66.51,
YMHL,Yambaling Hydropower Limited,59,,,,icra,https://www.icranepal.com/wp-content/uploads/2023/12/A.501-Yambaling-Hydropower-Limited_BLR-Surveillance_Dec-2023-Final-1.pdf,contracted PLF as stated in the document,,,
